hx, hy
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.11, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.10, 0.45
0.09, 0.44
0.09, 0.44
0.09, 0.44
0.09, 0.44
0.09, 0.44
0.09, 0.44
0.09, 0.44
0.07, 0.44
0.07, 0.44
0.07, 0.44
0.07, 0.44
0.07, 0.44
0.07, 0.44
0.06, 0.44
0.06, 0.44
0.06, 0.44
0.06, 0.44
0.06, 0.44
0.06, 0.44
0.06, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.43
0.04, 0.43
0.04, 0.43
0.04, 0.43
0.04, 0.43
0.04, 0.43
0.04, 0.43
0.03, 0.43
0.03, 0.43
0.03, 0.43
0.03, 0.43
0.03, 0.43
0.03, 0.43
0.03, 0.43
0.03, 0.43
0.03, 0.43
0.03, 0.43
0.03, 0.43
0.03, 0.43
0.03, 0.43
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.43
0.04, 0.43
0.04, 0.43
0.04, 0.43
0.04, 0.43
0.04, 0.43
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
0.02, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.04, 0.45
-0.04, 0.45
-0.04, 0.45
-0.04, 0.45
-0.04, 0.45
-0.04, 0.45
-0.05, 0.45
-0.05, 0.45
-0.05, 0.45
-0.05, 0.45
-0.05, 0.45
-0.05, 0.45
-0.06, 0.47
-0.06, 0.47
-0.06, 0.47
-0.06, 0.47
-0.06, 0.47
-0.06, 0.47
-0.08, 0.47
-0.08, 0.47
-0.08, 0.47
-0.08, 0.47
-0.08, 0.47
-0.08, 0.47
-0.08, 0.48
-0.08, 0.48
-0.08, 0.48
-0.08, 0.48
-0.08, 0.48
-0.08, 0.48
-0.09, 0.50
-0.09, 0.50
-0.09, 0.50
-0.09, 0.50
-0.09, 0.50
-0.09, 0.50
-0.10, 0.51
-0.10, 0.51
-0.10, 0.51
-0.10, 0.51
-0.10, 0.51
-0.10, 0.51
-0.11, 0.53
-0.11, 0.53
-0.11, 0.53
-0.11, 0.53
-0.11, 0.53
-0.11, 0.53
-0.11, 0.55
-0.11, 0.55
-0.11, 0.55
-0.11, 0.55
-0.11, 0.55
-0.11, 0.55
-0.11, 0.58
-0.11, 0.58
-0.11, 0.58
-0.11, 0.58
-0.11, 0.58
-0.11, 0.58
-0.11, 0.60
-0.11, 0.60
-0.11, 0.60
-0.11, 0.60
-0.11, 0.60
-0.11, 0.60
-0.11, 0.62
-0.11, 0.62
-0.11, 0.62
-0.11, 0.62
-0.11, 0.62
-0.11, 0.62
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.09, 0.64
-0.09, 0.64
-0.09, 0.64
-0.09, 0.64
-0.09, 0.64
-0.09, 0.64
-0.08, 0.66
-0.08, 0.66
-0.08, 0.66
-0.08, 0.66
-0.08, 0.66
-0.08, 0.66
-0.07, 0.67
-0.07, 0.67
-0.07, 0.67
-0.07, 0.67
-0.07, 0.67
-0.07, 0.67
-0.06, 0.68
-0.06, 0.68
-0.06, 0.68
-0.06, 0.68
-0.06, 0.68
-0.06, 0.68
-0.04, 0.69
-0.04, 0.69
-0.04, 0.69
-0.04, 0.69
-0.04, 0.69
-0.04, 0.69
-0.03, 0.70
-0.03, 0.70
-0.03, 0.70
-0.03, 0.70
-0.03, 0.70
-0.03, 0.70
-0.02, 0.69
-0.02, 0.69
-0.02, 0.69
-0.02, 0.69
-0.02, 0.69
-0.02, 0.69
-0.01, 0.70
-0.01, 0.70
-0.01, 0.70
-0.01, 0.70
-0.01, 0.70
-0.01, 0.70
0.00, 0.70
0.00, 0.70
0.00, 0.70
0.00, 0.70
0.00, 0.70
0.00, 0.70
0.01, 0.70
0.01, 0.70
0.01, 0.70
0.01, 0.70
0.01, 0.70
0.01, 0.70
0.01, 0.70
0.02, 0.71
0.02, 0.71
0.02, 0.71
0.02, 0.71
0.02, 0.71
0.02, 0.71
0.03, 0.70
0.03, 0.70
0.03, 0.70
0.03, 0.70
0.03, 0.70
0.03, 0.70
0.03, 0.72
0.04, 0.70
0.04, 0.70
0.04, 0.70
0.04, 0.70
0.04, 0.70
0.04, 0.70
0.05, 0.70
0.05, 0.70
0.05, 0.70
0.05, 0.70
0.05, 0.70
0.05, 0.70
0.05, 0.71
0.06, 0.71
0.06, 0.71
0.06, 0.71
0.06, 0.71
0.06, 0.71
0.06, 0.71
0.06, 0.70
0.06, 0.70
0.06, 0.70
0.06, 0.70
0.06, 0.70
0.06, 0.70
0.06, 0.71
0.06, 0.71
0.06, 0.71
0.06, 0.71
0.06, 0.71
0.06, 0.71
0.06, 0.71
0.05, 0.71
0.05, 0.71
0.05, 0.71
0.05, 0.71
0.05, 0.71
0.05, 0.71
0.05, 0.71
0.05, 0.71
0.05, 0.71
0.05, 0.71
0.05, 0.71
0.05, 0.71
0.05, 0.71
0.03, 0.70
0.03, 0.70
0.03, 0.70
0.03, 0.70
0.03, 0.70
0.03, 0.70
0.02, 0.70
0.02, 0.70
0.02, 0.70
0.02, 0.70
0.02, 0.70
0.02, 0.70
0.02, 0.70
0.00, 0.70
0.00, 0.70
0.00, 0.70
0.00, 0.70
0.00, 0.70
0.00, 0.70
-0.01, 0.70
-0.01, 0.70
-0.01, 0.70
-0.01, 0.70
-0.01, 0.70
-0.01, 0.70
-0.02, 0.69
-0.02, 0.69
-0.02, 0.69
-0.02, 0.69
-0.02, 0.69
-0.02, 0.69
-0.03, 0.68
-0.03, 0.68
-0.03, 0.68
-0.03, 0.68
-0.03, 0.68
-0.03, 0.68
-0.04, 0.68
-0.04, 0.68
-0.04, 0.68
-0.04, 0.68
-0.04, 0.68
-0.04, 0.68
-0.05, 0.67
-0.05, 0.67
-0.05, 0.67
-0.05, 0.67
-0.05, 0.67
-0.05, 0.67
-0.06, 0.66
-0.06, 0.66
-0.06, 0.66
-0.06, 0.66
-0.06, 0.66
-0.06, 0.66
-0.07, 0.65
-0.07, 0.65
-0.07, 0.65
-0.07, 0.65
-0.07, 0.65
-0.07, 0.65
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.09, 0.62
