hx, hy
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.28, 0.11
-0.28, 0.11
-0.28, 0.11
-0.28, 0.11
-0.28, 0.11
-0.28, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.12
-0.29, 0.12
-0.29, 0.12
-0.29, 0.12
-0.29, 0.12
-0.29, 0.12
-0.28, 0.13
-0.28, 0.13
-0.28, 0.13
-0.28, 0.13
-0.28, 0.13
-0.28, 0.13
-0.28, 0.14
-0.28, 0.14
-0.28, 0.14
-0.28, 0.14
-0.28, 0.14
-0.28, 0.14
-0.27, 0.16
-0.27, 0.16
-0.27, 0.16
-0.27, 0.16
-0.27, 0.16
-0.27, 0.16
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.27, 0.17
-0.25, 0.18
-0.25, 0.18
-0.25, 0.18
-0.25, 0.18
-0.25, 0.18
-0.25, 0.18
-0.24, 0.19
-0.24, 0.19
-0.24, 0.19
-0.24, 0.19
-0.24, 0.19
-0.24, 0.19
-0.23, 0.20
-0.23, 0.20
-0.23, 0.20
-0.23, 0.20
-0.23, 0.20
-0.23, 0.20
-0.22, 0.21
-0.22, 0.21
-0.22, 0.21
-0.22, 0.21
-0.22, 0.21
-0.22, 0.21
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.20, 0.23
-0.20, 0.23
-0.20, 0.23
-0.20, 0.23
-0.20, 0.23
-0.20, 0.23
-0.19, 0.23
-0.19, 0.23
-0.19, 0.23
-0.19, 0.23
-0.19, 0.23
-0.19, 0.23
-0.17, 0.23
-0.17, 0.23
-0.17, 0.23
-0.17, 0.23
-0.17, 0.23
-0.17, 0.23
-0.15, 0.23
-0.15, 0.23
-0.15, 0.23
-0.15, 0.23
-0.15, 0.23
-0.15, 0.23
-0.13, 0.23
-0.13, 0.23
-0.13, 0.23
-0.13, 0.23
-0.13, 0.23
-0.13, 0.23
-0.12, 0.23
-0.12, 0.23
-0.12, 0.23
-0.12, 0.23
-0.12, 0.23
-0.12, 0.23
-0.09, 0.22
-0.09, 0.22
-0.09, 0.22
-0.09, 0.22
-0.09, 0.22
-0.09, 0.22
-0.08, 0.22
-0.08, 0.22
-0.08, 0.22
-0.08, 0.22
-0.08, 0.22
-0.08, 0.22
-0.07, 0.22
-0.07, 0.22
-0.07, 0.22
-0.07, 0.22
-0.07, 0.22
-0.07, 0.22
-0.07, 0.21
-0.07, 0.21
-0.07, 0.21
-0.07, 0.21
-0.07, 0.21
-0.07, 0.21
-0.08, 0.21
-0.08, 0.21
-0.08, 0.21
-0.08, 0.21
-0.08, 0.21
-0.08, 0.21
-0.07, 0.21
-0.07, 0.21
-0.07, 0.21
-0.07, 0.21
-0.07, 0.21
-0.07, 0.21
-0.09, 0.21
-0.09, 0.21
-0.09, 0.21
-0.09, 0.21
-0.09, 0.21
-0.09, 0.21
-0.11, 0.22
-0.11, 0.22
-0.11, 0.22
-0.11, 0.22
-0.11, 0.22
-0.11, 0.22
-0.12, 0.23
-0.12, 0.23
-0.12, 0.23
-0.12, 0.23
-0.12, 0.23
-0.12, 0.23
-0.14, 0.23
-0.14, 0.23
-0.14, 0.23
-0.14, 0.23
-0.14, 0.23
-0.14, 0.23
-0.15, 0.23
-0.15, 0.23
-0.15, 0.23
-0.15, 0.23
-0.15, 0.23
-0.15, 0.23
-0.15, 0.23
-0.17, 0.23
-0.17, 0.23
-0.17, 0.23
-0.17, 0.23
-0.17, 0.23
-0.17, 0.23
-0.19, 0.23
-0.19, 0.23
-0.19, 0.23
-0.19, 0.23
-0.19, 0.23
-0.19, 0.23
-0.20, 0.23
-0.20, 0.23
-0.20, 0.23
-0.20, 0.23
-0.20, 0.23
-0.20, 0.23
-0.21, 0.23
-0.21, 0.23
-0.21, 0.23
-0.21, 0.23
-0.21, 0.23
-0.21, 0.23
-0.22, 0.22
-0.22, 0.22
-0.22, 0.22
-0.22, 0.22
-0.22, 0.22
-0.22, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.21, 0.22
-0.19, 0.22
-0.19, 0.22
-0.19, 0.22
-0.19, 0.22
-0.19, 0.22
-0.19, 0.22
-0.20, 0.22
-0.20, 0.22
-0.20, 0.22
-0.20, 0.22
-0.20, 0.22
-0.20, 0.22
-0.22, 0.21
-0.22, 0.21
-0.22, 0.21
-0.22, 0.21
-0.22, 0.21
-0.22, 0.21
-0.26, 0.20
-0.26, 0.20
-0.26, 0.20
-0.26, 0.20
-0.26, 0.20
-0.26, 0.20
-0.28, 0.19
-0.28, 0.19
-0.28, 0.19
-0.28, 0.19
-0.28, 0.19
-0.28, 0.19
-0.29, 0.17
-0.29, 0.17
-0.29, 0.17
-0.29, 0.17
-0.29, 0.17
-0.29, 0.17
-0.30, 0.16
-0.30, 0.16
-0.30, 0.16
-0.30, 0.16
-0.30, 0.16
-0.30, 0.16
-0.32, 0.14
-0.32, 0.14
-0.32, 0.14
-0.32, 0.14
-0.32, 0.14
-0.32, 0.14
-0.32, 0.12
-0.32, 0.12
-0.32, 0.12
-0.32, 0.12
-0.32, 0.12
-0.32, 0.12
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.31, 0.07
-0.31, 0.07
-0.31, 0.07
-0.31, 0.07
-0.31, 0.07
-0.31, 0.07
-0.31, 0.05
-0.31, 0.05
-0.31, 0.05
-0.31, 0.05
-0.31, 0.05
-0.31, 0.05
-0.30, 0.02
-0.30, 0.02
-0.30, 0.02
-0.30, 0.02
-0.30, 0.02
-0.30, 0.02
-0.29, 0.01
-0.29, 0.01
-0.29, 0.01
-0.29, 0.01
-0.29, 0.01
-0.29, 0.01
-0.28, -0.01
-0.28, -0.01
-0.28, -0.01
-0.28, -0.01
-0.28, -0.01
-0.26, -0.01
-0.26, -0.01
-0.26, -0.01
-0.26, -0.01
-0.26, -0.01
-0.26, -0.01
-0.25, -0.02
-0.25, -0.02
-0.25, -0.02
-0.25, -0.02
-0.25, -0.02
-0.25, -0.02
-0.23, -0.03
-0.23, -0.03
-0.23, -0.03
-0.23, -0.03
-0.23, -0.03
-0.21, -0.04
-0.21, -0.04
-0.21, -0.04
-0.21, -0.04
-0.21, -0.04
-0.21, -0.04
-0.18, -0.04
-0.18, -0.04
-0.18, -0.04
-0.18, -0.04
-0.18, -0.04
-0.16, -0.04
-0.16, -0.04
-0.16, -0.04
-0.16, -0.04
-0.16, -0.04
-0.16, -0.04
-0.13, -0.04
-0.13, -0.04
-0.13, -0.04
-0.13, -0.04
-0.13, -0.04
-0.13, -0.04
-0.11, -0.03
-0.11, -0.03
-0.11, -0.03
-0.11, -0.03
-0.11, -0.03
-0.10, -0.03
-0.10, -0.03
-0.10, -0.03
-0.10, -0.03
-0.10, -0.03
-0.10, -0.03
-0.08, -0.01
-0.08, -0.01
-0.08, -0.01
-0.08, -0.01
-0.08, -0.01
-0.06, 0.01
-0.06, 0.01
-0.06, 0.01
-0.06, 0.01
-0.06, 0.01
-0.06, 0.01
-0.05, 0.01
-0.05, 0.01
-0.05, 0.01
-0.05, 0.01
-0.05, 0.01
-0.05, 0.01
-0.05, 0.01
-0.05, 0.01
-0.05, 0.01
-0.05, 0.01
-0.05, 0.01
-0.05, 0.01
-0.04, 0.01
-0.04, 0.01
-0.04, 0.01
-0.04, 0.01
-0.04, 0.01
-0.04, 0.01
-0.04, 0.00
-0.04, 0.00
-0.04, 0.00
-0.04, 0.00
-0.04, 0.00
-0.04, 0.00
-0.04, 0.01
-0.04, 0.01
-0.04, 0.01
-0.04, 0.01
-0.04, 0.01
-0.04, 0.01
-0.02, 0.01
-0.02, 0.01
-0.02, 0.01
-0.02, 0.01
-0.02, 0.01
-0.02, 0.01
-0.02, 0.01
-0.02, 0.01
-0.02, 0.01
-0.02, 0.01
-0.02, 0.01
-0.02, 0.01
-0.02, 0.01
-0.03, 0.01
-0.03, 0.01
-0.03, 0.01
-0.03, 0.01
-0.03, 0.01
-0.03, 0.01
-0.02, 0.02
-0.02, 0.02
-0.02, 0.02
