hx, hy
0.06, 0.47
0.06, 0.47
0.06, 0.47
0.06, 0.47
0.06, 0.47
0.06, 0.46
0.06, 0.46
0.06, 0.46
0.06, 0.46
0.06, 0.46
0.06, 0.46
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.00, 0.45
0.00, 0.45
0.00, 0.45
0.00, 0.45
0.00, 0.45
0.00, 0.45
-0.01, 0.45
-0.01, 0.45
-0.01, 0.45
-0.01, 0.45
-0.01, 0.45
-0.01, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.05, 0.45
-0.05, 0.45
-0.05, 0.45
-0.05, 0.45
-0.05, 0.45
-0.05, 0.45
-0.06, 0.46
-0.06, 0.46
-0.06, 0.46
-0.06, 0.46
-0.06, 0.46
-0.06, 0.46
-0.08, 0.47
-0.08, 0.47
-0.08, 0.47
-0.08, 0.47
-0.08, 0.47
-0.08, 0.47
-0.09, 0.48
-0.09, 0.48
-0.09, 0.48
-0.09, 0.48
-0.09, 0.48
-0.09, 0.48
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.08, 0.49
-0.08, 0.49
-0.08, 0.49
-0.08, 0.49
-0.08, 0.49
-0.08, 0.49
-0.08, 0.49
-0.08, 0.49
-0.08, 0.49
-0.08, 0.49
-0.08, 0.49
-0.08, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.08, 0.48
-0.08, 0.48
-0.08, 0.48
-0.08, 0.48
-0.08, 0.48
-0.08, 0.48
-0.08, 0.47
-0.08, 0.47
-0.08, 0.47
-0.08, 0.47
-0.08, 0.47
-0.08, 0.47
-0.07, 0.46
-0.07, 0.46
-0.07, 0.46
-0.07, 0.46
-0.07, 0.46
-0.07, 0.46
-0.06, 0.46
-0.06, 0.46
-0.06, 0.46
-0.06, 0.46
-0.06, 0.46
-0.06, 0.46
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
0.00, 0.44
0.00, 0.44
0.00, 0.44
0.00, 0.44
0.00, 0.44
0.00, 0.44
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.45
0.02, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.03, 0.44
0.04, 0.45
0.04, 0.45
0.04, 0.45
0.04, 0.45
0.04, 0.45
0.04, 0.45
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.44
0.04, 0.45
0.04, 0.45
0.04, 0.45
0.04, 0.45
0.04, 0.45
0.04, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.05, 0.45
0.07, 0.45
0.07, 0.45
0.07, 0.45
0.07, 0.45
0.07, 0.45
0.07, 0.45
0.10, 0.46
0.10, 0.46
0.10, 0.46
0.10, 0.46
0.10, 0.46
0.10, 0.46
0.10, 0.46
0.10, 0.47
0.10, 0.47
0.10, 0.47
0.10, 0.47
0.10, 0.47
0.10, 0.47
0.12, 0.48
0.12, 0.48
0.12, 0.48
0.12, 0.48
0.12, 0.48
0.12, 0.48
0.12, 0.48
0.12, 0.49
0.12, 0.49
0.12, 0.49
0.12, 0.49
0.12, 0.49
0.12, 0.49
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.13, 0.50
0.13, 0.50
